,corr_stocks,corr_oil,noisy_trader,przemek_trader,start_ind
103,0.3017039398538831,0.607030153439486,350,250,1400
104,0.6003549169432831,0.607030153439486,300,300,1400
105,0.6101483492573712,0.2110749785344782,600,0,1500
106,-0.5841481831213566,0.2110749785344782,550,50,1500
107,-0.7221337035430797,0.2110749785344782,500,100,1500
108,-0.6992120637981009,0.2110749785344782,450,150,1500
109,-0.7667524276201737,0.2110749785344782,400,200,1500
110,-0.7672320624542976,0.2110749785344782,350,250,1500
111,-0.8229154879914451,0.2110749785344782,300,300,1500
112,0.1414115845811195,0.8718979413957014,600,0,1600
113,-0.8372134817103913,0.8718979413957014,550,50,1600
114,-0.8023071987198744,0.8718979413957014,500,100,1600
115,-0.8292031416581332,0.8718979413957014,450,150,1600
116,-0.839080858197778,0.8718979413957014,400,200,1600
117,-0.8195005895655147,0.8718979413957014,350,250,1600
118,-0.7192160854041549,0.8718979413957014,300,300,1600
119,-0.5264901531074119,0.5647300260730208,600,0,1700
120,0.5106948193969374,0.5647300260730208,550,50,1700
121,0.5559195062229769,0.5647300260730208,500,100,1700
122,0.5713150410385152,0.5647300260730208,450,150,1700
123,0.5635754915294272,0.5647300260730208,400,200,1700
124,0.5541486392373829,0.5647300260730208,350,250,1700
125,0.5581958662859066,0.5647300260730208,300,300,1700
126,-0.7854375418608524,0.4913800013230074,600,0,1800
127,0.6434935853229367,0.4913800013230074,550,50,1800
128,0.7770646288605837,0.4913800013230074,500,100,1800
129,0.8470747694418092,0.4913800013230074,450,150,1800
130,0.8313021235003398,0.4913800013230074,400,200,1800
131,0.8153655993105821,0.4913800013230074,350,250,1800
132,0.8442443371022625,0.4913800013230074,300,300,1800
133,-0.29363272755069747,0.6888510072746676,600,0,1900
134,0.9129406273774427,0.6888510072746676,550,50,1900
135,0.8284679311209096,0.6888510072746676,500,100,1900
136,0.931535710824264,0.6888510072746676,450,150,1900
137,0.8862912253301025,0.6888510072746676,400,200,1900
138,0.8791893592624753,0.6888510072746676,350,250,1900
139,0.9039254738865544,0.6888510072746676,300,300,1900
140,0.0037450359910952704,0.3019508126907703,600,0,2000
141,-0.5337769390969852,0.3019508126907703,550,50,2000
142,-0.4286841732003312,0.3019508126907703,500,100,2000
143,-0.2981675513825494,0.3019508126907703,450,150,2000
144,-0.36097337838013915,0.3019508126907703,400,200,2000
145,-0.34132027520792285,0.3019508126907703,350,250,2000
146,-0.4144157282492768,0.3019508126907703,300,300,2000
147,-0.680776016419971,0.7389826584632245,600,0,2100
148,-0.1503262339505864,0.7389826584632245,550,50,2100
149,-0.11056315115002069,0.7389826584632245,500,100,2100
150,-0.06567658885620037,0.7389826584632245,450,150,2100
151,-0.1485214757191287,0.7389826584632245,400,200,2100
152,-0.038369040505172786,0.7389826584632245,350,250,2100
153,-0.04628415171563244,0.7389826584632245,300,300,2100
154,0.4088378329212064,0.143890893358712,600,0,2200
155,-0.9480048758900195,0.143890893358712,550,50,2200
156,-0.9473488376436487,0.143890893358712,500,100,2200
157,-0.9402209984875929,0.143890893358712,450,150,2200
158,-0.942654746093173,0.143890893358712,400,200,2200
159,-0.9426318088617057,0.143890893358712,350,250,2200
160,-0.943491869144705,0.143890893358712,300,300,2200
161,0.4705493560946853,0.3759568341185785,600,0,2300
162,-0.8377011615906303,0.3759568341185785,550,50,2300
163,-0.8276109364519718,0.3759568341185785,500,100,2300
164,-0.8083238604525331,0.3759568341185785,450,150,2300
165,-0.8299641668414118,0.3759568341185785,400,200,2300
166,-0.8437996711512481,0.3759568341185785,350,250,2300
167,-0.8558097306724937,0.3759568341185785,300,300,2300
168,0.3008794798200447,0.2773900743630438,600,0,2400
169,-0.6951254463587647,0.2773900743630438,550,50,2400
170,-0.6932742494860306,0.2773900743630438,500,100,2400
171,-0.6946035044510281,0.2773900743630438,450,150,2400
172,-0.6960098225209811,0.2773900743630438,400,200,2400
173,-0.6991065276423065,0.2773900743630438,350,250,2400
174,-0.6977817434020692,0.2773900743630438,300,300,2400
