,Date,Open,High,Low,Close,Adj Close,Volume
278,2009-04-07,51.389998999999996,51.82,48.400002,49.150002,49.150002,228983.0
279,2009-04-08,48.470001,51.299999,47.369999,49.380001,49.380001,254031.0
280,2009-04-09,49.959998999999996,52.450001,49.720001,52.240002000000004,52.240002000000004,352611.0
282,2009-04-13,52.0,52.150002,48.84,50.049999,50.049999,294835.0
283,2009-04-14,49.959998999999996,51.119999,48.849998,49.41,49.41,290456.0
284,2009-04-15,49.16,50.790001000000004,48.91,49.25,49.25,284710.0
285,2009-04-16,49.700001,50.48,49.110001000000004,49.98,49.98,228056.0
286,2009-04-17,49.93,51.369999,49.41,50.330002,50.330002,196957.0
288,2009-04-20,50.16,50.310001,45.439999,45.880001,45.880001,137021.0
289,2009-04-21,45.259997999999996,47.200001,43.830002,46.509997999999996,46.509997999999996,89895.0
290,2009-04-22,48.68,49.09,47.700001,48.849998,48.849998,287925.0
291,2009-04-23,48.490002000000004,49.919998,48.369999,49.619999,49.619999,238729.0
292,2009-04-24,49.650002,51.75,49.060001,51.549999,51.549999,227296.0
294,2009-04-27,51.450001,51.450001,48.009997999999996,50.139998999999996,50.139998999999996,230865.0
295,2009-04-28,50.099998,50.189999,48.549999,49.919998,49.919998,265293.0
296,2009-04-29,49.25,51.419998,49.119999,50.970001,50.970001,186823.0
297,2009-04-30,50.790001000000004,51.939999,50.209998999999996,51.119999,51.119999,234826.0
298,2009-05-01,50.950001,53.650002,50.43,53.200001,53.200001,208296.0
300,2009-05-04,52.619999,54.639998999999996,52.560001,54.470001,54.470001,248750.0
301,2009-05-05,54.459998999999996,54.830002,53.5,53.84,53.84,229782.0
302,2009-05-06,54.119999,56.470001,53.57,56.34,56.34,234306.0
303,2009-05-07,56.299999,58.57,55.459998999999996,56.709998999999996,56.709998999999996,334302.0
304,2009-05-08,56.5,58.75,56.150002,58.630001,58.630001,377826.0
306,2009-05-11,58.490002000000004,58.630001,56.779999,58.5,58.5,291819.0
307,2009-05-12,58.099998,60.080002,57.810001,58.849998,58.849998,290030.0
308,2009-05-13,59.290001000000004,59.900002,57.41,58.02,58.02,305957.0
309,2009-05-14,57.73,59.0,56.549999,58.619999,58.619999,311802.0
310,2009-05-15,58.540001000000004,58.880001,56.07,56.34,56.34,260456.0
312,2009-05-18,56.470001,59.330002,56.119999,59.029999,59.029999,216089.0
313,2009-05-19,59.16,60.48,58.549999,59.650002,59.650002,134714.0
314,2009-05-20,60.18,62.259997999999996,59.860001000000004,62.040001000000004,62.040001000000004,252709.0
315,2009-05-21,61.68,61.869999,59.919998,61.049999,61.049999,270022.0
316,2009-05-22,61.049999,61.98,60.5,61.669998,61.669998,237412.0
318,2009-05-26,61.5,62.540001000000004,59.529999,62.450001,62.450001,186302.0
319,2009-05-27,62.869999,63.82,62.189999,63.450001,63.450001,267127.0
320,2009-05-28,62.91,65.440002,62.75,65.08000200000001,65.08000200000001,261888.0
321,2009-05-29,64.769997,66.639999,64.68,66.309998,66.309998,281439.0
323,2009-06-01,66.480003,68.68,66.230003,68.58000200000001,68.58000200000001,261370.0
324,2009-06-02,68.040001,69.050003,67.5,68.550003,68.550003,234080.0
325,2009-06-03,68.25,68.949997,64.949997,66.120003,66.120003,266861.0
326,2009-06-04,66.089996,69.599998,65.91999799999999,68.809998,68.809998,322365.0
327,2009-06-05,68.730003,70.32,67.540001,68.440002,68.440002,304674.0
329,2009-06-08,68.32,68.949997,66.779999,68.089996,68.089996,329259.0
330,2009-06-09,68.690002,70.690002,68.43,70.010002,70.010002,289278.0
331,2009-06-10,70.510002,71.790001,70.43,71.33000200000001,71.33000200000001,316884.0
332,2009-06-11,71.459999,73.230003,71.32,72.68,72.68,346248.0
